"","timestamp","bearing","speed","network_provider","gps_provider","suburb","city","region","moving","userid","fclass0","code0","name0","fclass1","code1","name1","fclass2","code2","name2","fclass3","code3","name3","fclass4","code4","name4","fclass5","code5","name5","fclass6","code6","name6","fclass7","code7","name7","fclass8","code8","name8","fclass9","code9","name9","fclass10","code10","name10","fclass11","code11","name11","fclass12","code12","name12","fclass13","code13","name13","fclass14","code14","name14","fclass15","code15","name15","fclass16","code16","name16","fclass17","code17","name17","fclass18","code18","name18","fclass19","code19","name19"
"13","-05-22 14:45:00",-1,-1,"True","False","Tiro a segno","Castel Ivano","Trentino-Alto Adige/Südtirol","False",61,"residential",7203,"","parking",5260,"","school",2082,"Scuola primaria Agnedo","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","-05-15 14:18:00",-1,-1,"True","False","","Agnedo","Trentino-Alto Adige/Südtirol","False",61,"residential",7203,"","school",2082,"Scuola primaria Agnedo","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","-05-12 04:53:00",-1,-1,"True","False","","Agnedo","Trentino-Alto Adige/Südtirol","False",61,"residential",7203,"","school",2082,"Scuola primaria Agnedo","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","-05-26 08:37:00",-1,-1,"True","False","","Agnedo","Trentino-Alto Adige/Südtirol","False",61,"residential",7203,"","school",2082,"Scuola primaria Agnedo","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","-05-09 21:38:00",-1,-1,"True","False","","Agnedo","Trentino-Alto Adige/Südtirol","False",61,"residential",7203,"","school",2082,"Scuola primaria Agnedo","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","-05-25 17:39:00",-1,-1,"True","False","Tiro a segno","Castel Ivano","Trentino-Alto Adige/Südtirol","False",61,"residential",7203,"","school",2082,"Scuola primaria Agnedo","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","-05-11 11:36:00",-1,-1,"True","False","Centro storico Trento","Trento","Trentino-Alto Adige/Südtirol","True",61,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","-05-25 09:33:00",-1,-1,"True","False","","Agnedo","Trentino-Alto Adige/Südtirol","True",61,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","-05-09 19:12:00",-1,-1,"True","False","","Agnedo","Trentino-Alto Adige/Südtirol","False",61,"residential",7203,"","school",2082,"Scuola primaria Agnedo","forest",7201,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","-05-26 11:39:00",-1,-1,"True","False","","Agnedo","Trentino-Alto Adige/Südtirol","False",61,"residential",7203,"","school",2082,"Scuola primaria Agnedo","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
